_id,BETRIEBSTAG,FAHRT_BEZEICHNER,BETREIBER_ID,BETREIBER_ABK,BETREIBER_NAME,PRODUKT_ID,LINIEN_ID,LINIEN_TEXT,UMLAUF_ID,VERKEHRSMITTEL_TEXT,ZUSATZFAHRT_TF,FAELLT_AUS_TF,BPUIC,HALTESTELLEN_NAME,ANKUNFTSZEIT,AN_PROGNOSE,AN_PROGNOSE_STATUS,ABFAHRTSZEIT,AB_PROGNOSE,AB_PROGNOSE_STATUS,DURCHFAHRT_TF
2486133,14.04.2025,85:96:4126:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4126,S14,,S,false,false,8502123,Buchs AG,14.04.2025 10:45,14.04.2025 10:46:04,REAL,14.04.2025 10:45,14.04.2025 10:46:36,REAL,false
2486138,14.04.2025,85:96:4127:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4127,S14,,S,false,false,8502123,Buchs AG,14.04.2025 12:12,14.04.2025 12:12:23,REAL,14.04.2025 12:12,14.04.2025 12:12:45,REAL,false
2486171,14.04.2025,85:96:4128:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4128,S14,,S,false,false,8502123,Buchs AG,14.04.2025 11:15,14.04.2025 11:16:19,REAL,14.04.2025 11:15,14.04.2025 11:16:47,REAL,false
2486176,14.04.2025,85:96:4129:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4129,S14,,S,false,false,8502123,Buchs AG,14.04.2025 12:42,14.04.2025 12:42:51,REAL,14.04.2025 12:42,14.04.2025 12:43:21,REAL,false
2486209,14.04.2025,85:96:4130:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4130,S14,,S,false,false,8502123,Buchs AG,14.04.2025 11:45,14.04.2025 11:46:00,REAL,14.04.2025 11:45,14.04.2025 11:46:27,REAL,false
2486214,14.04.2025,85:96:4131:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4131,S14,,S,false,false,8502123,Buchs AG,14.04.2025 13:12,14.04.2025 13:12:57,REAL,14.04.2025 13:12,14.04.2025 13:13:17,REAL,false
2486247,14.04.2025,85:96:4132:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4132,S14,,S,false,false,8502123,Buchs AG,14.04.2025 12:15,14.04.2025 12:16:09,REAL,14.04.2025 12:15,14.04.2025 12:16:37,REAL,false
2486252,14.04.2025,85:96:4133:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4133,S14,,S,false,false,8502123,Buchs AG,14.04.2025 13:42,14.04.2025 13:43:08,REAL,14.04.2025 13:42,14.04.2025 13:43:31,REAL,false
2486285,14.04.2025,85:96:4134:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4134,S14,,S,false,false,8502123,Buchs AG,14.04.2025 12:45,14.04.2025 12:46:27,REAL,14.04.2025 12:45,14.04.2025 12:46:55,REAL,false
2486290,14.04.2025,85:96:4135:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4135,S14,,S,false,false,8502123,Buchs AG,14.04.2025 14:12,14.04.2025 14:13:21,REAL,14.04.2025 14:12,14.04.2025 14:13:56,REAL,false
2486323,14.04.2025,85:96:4136:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4136,S14,,S,false,false,8502123,Buchs AG,14.04.2025 13:15,14.04.2025 13:16:25,REAL,14.04.2025 13:15,14.04.2025 13:16:57,REAL,false
2486328,14.04.2025,85:96:4137:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4137,S14,,S,false,false,8502123,Buchs AG,14.04.2025 14:42,14.04.2025 14:43:09,REAL,14.04.2025 14:42,14.04.2025 14:43:37,REAL,false
2486361,14.04.2025,85:96:4138:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4138,S14,,S,false,false,8502123,Buchs AG,14.04.2025 13:45,14.04.2025 13:46:36,REAL,14.04.2025 13:45,14.04.2025 13:47:00,REAL,false
2486366,14.04.2025,85:96:4139:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4139,S14,,S,false,false,8502123,Buchs AG,14.04.2025 15:12,14.04.2025 15:12:17,REAL,14.04.2025 15:12,14.04.2025 15:12:38,REAL,false
2486399,14.04.2025,85:96:4140:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4140,S14,,S,false,false,8502123,Buchs AG,14.04.2025 14:15,14.04.2025 14:17:01,REAL,14.04.2025 14:15,14.04.2025 14:17:33,REAL,false
2486404,14.04.2025,85:96:4141:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4141,S14,,S,false,false,8502123,Buchs AG,14.04.2025 15:42,14.04.2025 15:42:59,REAL,14.04.2025 15:42,14.04.2025 15:43:21,REAL,false
2486437,14.04.2025,85:96:4142:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4142,S14,,S,false,false,8502123,Buchs AG,14.04.2025 14:45,14.04.2025 14:46:56,REAL,14.04.2025 14:45,14.04.2025 14:47:10,REAL,false
2486442,14.04.2025,85:96:4143:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4143,S14,,S,false,false,8502123,Buchs AG,14.04.2025 16:12,14.04.2025 16:12:58,REAL,14.04.2025 16:12,14.04.2025 16:13:24,REAL,false
2486475,14.04.2025,85:96:4144:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4144,S14,,S,false,false,8502123,Buchs AG,14.04.2025 15:15,14.04.2025 15:16:02,REAL,14.04.2025 15:15,14.04.2025 15:16:32,REAL,false
2486480,14.04.2025,85:96:4145:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4145,S14,,S,false,false,8502123,Buchs AG,14.04.2025 16:42,14.04.2025 16:43:01,REAL,14.04.2025 16:42,14.04.2025 16:43:26,REAL,false
2486513,14.04.2025,85:96:4146:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4146,S14,,S,false,false,8502123,Buchs AG,14.04.2025 15:45,14.04.2025 15:46:16,REAL,14.04.2025 15:45,14.04.2025 15:46:48,REAL,false
2486518,14.04.2025,85:96:4147:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4147,S14,,S,false,false,8502123,Buchs AG,14.04.2025 17:12,14.04.2025 17:13:07,REAL,14.04.2025 17:12,14.04.2025 17:13:34,REAL,false
2486551,14.04.2025,85:96:4148:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4148,S14,,S,false,false,8502123,Buchs AG,14.04.2025 16:15,14.04.2025 16:16:34,REAL,14.04.2025 16:15,14.04.2025 16:17:06,REAL,false
2486556,14.04.2025,85:96:4149:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4149,S14,,S,false,false,8502123,Buchs AG,14.04.2025 17:42,14.04.2025 17:42:58,REAL,14.04.2025 17:42,14.04.2025 17:43:17,REAL,false
2486589,14.04.2025,85:96:4150:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4150,S14,,S,false,false,8502123,Buchs AG,14.04.2025 16:45,14.04.2025 16:46:37,REAL,14.04.2025 16:45,14.04.2025 16:47:08,REAL,false
2486594,14.04.2025,85:96:4151:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4151,S14,,S,false,false,8502123,Buchs AG,14.04.2025 18:12,14.04.2025 18:12:57,REAL,14.04.2025 18:12,14.04.2025 18:13:13,REAL,false
2486627,14.04.2025,85:96:4152:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4152,S14,,S,false,false,8502123,Buchs AG,14.04.2025 17:15,14.04.2025 17:16:39,REAL,14.04.2025 17:15,14.04.2025 17:17:02,REAL,false
2486632,14.04.2025,85:96:4153:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4153,S14,,S,false,false,8502123,Buchs AG,14.04.2025 18:42,14.04.2025 18:42:59,REAL,14.04.2025 18:42,14.04.2025 18:43:22,REAL,false
2486665,14.04.2025,85:96:4154:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4154,S14,,S,false,false,8502123,Buchs AG,14.04.2025 17:45,14.04.2025 17:46:21,REAL,14.04.2025 17:45,14.04.2025 17:46:52,REAL,false
2486670,14.04.2025,85:96:4155:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4155,S14,,S,false,false,8502123,Buchs AG,14.04.2025 19:12,14.04.2025 19:13:20,REAL,14.04.2025 19:12,14.04.2025 19:13:44,REAL,false
2486703,14.04.2025,85:96:4156:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4156,S14,,S,false,false,8502123,Buchs AG,14.04.2025 18:15,14.04.2025 18:16:15,REAL,14.04.2025 18:15,14.04.2025 18:16:39,REAL,false
2486708,14.04.2025,85:96:4157:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4157,S14,,S,false,false,8502123,Buchs AG,14.04.2025 19:42,14.04.2025 19:42:26,REAL,14.04.2025 19:42,14.04.2025 19:42:42,REAL,false
2486741,14.04.2025,85:96:4158:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4158,S14,,S,false,false,8502123,Buchs AG,14.04.2025 18:45,14.04.2025 18:46:29,REAL,14.04.2025 18:45,14.04.2025 18:46:51,REAL,false
2486746,14.04.2025,85:96:4159:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4159,S14,,S,false,false,8502123,Buchs AG,14.04.2025 20:12,14.04.2025 20:12:11,REAL,14.04.2025 20:12,14.04.2025 20:12:27,REAL,false
2486779,14.04.2025,85:96:4160:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4160,S14,,S,false,false,8502123,Buchs AG,14.04.2025 19:15,14.04.2025 19:16:44,REAL,14.04.2025 19:15,14.04.2025 19:17:16,REAL,false
2486784,14.04.2025,85:96:4161:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4161,S14,,S,false,false,8502123,Buchs AG,14.04.2025 20:42,14.04.2025 20:42:26,REAL,14.04.2025 20:42,14.04.2025 20:42:45,REAL,false
2486817,14.04.2025,85:96:4162:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4162,S14,,S,false,false,8502123,Buchs AG,14.04.2025 19:45,14.04.2025 19:45:52,REAL,14.04.2025 19:45,14.04.2025 19:46:19,REAL,false
2486822,14.04.2025,85:96:4163:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4163,S14,,S,false,false,8502123,Buchs AG,14.04.2025 21:12,14.04.2025 21:13:08,REAL,14.04.2025 21:12,14.04.2025 21:13:44,REAL,false
13999,14.04.2025,ch:1:sjyid:100001:18678-001,85:11,SBB,Schweizerische Bundesbahnen SBB,Zug,18678,S6,,S,false,false,8503527,Buchs-Dällikon,14.04.2025 20:52,14.04.2025 20:52:05,REAL,14.04.2025 20:52,14.04.2025 20:52:33,REAL,false
14010,14.04.2025,ch:1:sjyid:100001:18679-001,85:11,SBB,Schweizerische Bundesbahnen SBB,Zug,18679,S6,,S,false,false,8503527,Buchs-Dällikon,14.04.2025 20:37,14.04.2025 20:37:12,REAL,14.04.2025 20:37,14.04.2025 20:37:41,REAL,false
14043,14.04.2025,ch:1:sjyid:100001:18680-001,85:11,SBB,Schweizerische Bundesbahnen SBB,Zug,18680,S6,,S,false,false,8503527,Buchs-Dällikon,14.04.2025 21:22,14.04.2025 21:22:39,REAL,14.04.2025 21:22,14.04.2025 21:23:09,REAL,false
14054,14.04.2025,ch:1:sjyid:100001:18681-001,85:11,SBB,Schweizerische Bundesbahnen SBB,Zug,18681,S6,,S,false,false,8503527,Buchs-Dällikon,14.04.2025 21:07,14.04.2025 21:07:01,REAL,14.04.2025 21:07,14.04.2025 21:07:26,REAL,false
14087,14.04.2025,ch:1:sjyid:100001:18682-001,85:11,SBB,Schweizerische Bundesbahnen SBB,Zug,18682,S6,,S,false,false,8503527,Buchs-Dällikon,14.04.2025 21:52,14.04.2025 21:52:59,REAL,14.04.2025 21:52,14.04.2025 21:53:32,REAL,false
14098,14.04.2025,ch:1:sjyid:100001:18683-001,85:11,SBB,Schweizerische Bundesbahnen SBB,Zug,18683,S6,,S,false,false,8503527,Buchs-Dällikon,14.04.2025 21:37,14.04.2025 21:37:44,REAL,14.04.2025 21:37,14.04.2025 21:38:20,REAL,false
14126,14.04.2025,ch:1:sjyid:100001:18684-001,85:11,SBB,Schweizerische Bundesbahnen SBB,Zug,18684,S6,,S,false,false,8503527,Buchs-Dällikon,14.04.2025 22:22,14.04.2025 22:22:17,REAL,14.04.2025 22:22,14.04.2025 22:22:46,REAL,false
14137,14.04.2025,ch:1:sjyid:100001:18685-001,85:11,SBB,Schweizerische Bundesbahnen SBB,Zug,18685,S6,,S,false,false,8503527,Buchs-Dällikon,14.04.2025 22:07,14.04.2025 22:08:35,REAL,14.04.2025 22:07,14.04.2025 22:09:10,REAL,false
14158,14.04.2025,ch:1:sjyid:100001:18686-001,85:11,SBB,Schweizerische Bundesbahnen SBB,Zug,18686,S6,,S,false,false,8503527,Buchs-Dällikon,14.04.2025 22:52,14.04.2025 22:53:28,REAL,14.04.2025 22:52,14.04.2025 22:54:11,REAL,false
14169,14.04.2025,ch:1:sjyid:100001:18687-001,85:11,SBB,Schweizerische Bundesbahnen SBB,Zug,18687,S6,,S,false,false,8503527,Buchs-Dällikon,14.04.2025 22:37,14.04.2025 22:37:51,REAL,14.04.2025 22:37,14.04.2025 22:38:20,REAL,false
14190,14.04.2025,ch:1:sjyid:100001:18688-001,85:11,SBB,Schweizerische Bundesbahnen SBB,Zug,18688,S6,,S,false,false,8503527,Buchs-Dällikon,14.04.2025 23:22,14.04.2025 23:22:01,REAL,14.04.2025 23:22,14.04.2025 23:22:43,REAL,false
14201,14.04.2025,ch:1:sjyid:100001:18689-001,85:11,SBB,Schweizerische Bundesbahnen SBB,Zug,18689,S6,,S,false,false,8503527,Buchs-Dällikon,14.04.2025 23:07,14.04.2025 23:08:46,REAL,14.04.2025 23:07,14.04.2025 23:09:19,REAL,false
14222,14.04.2025,ch:1:sjyid:100001:18690-001,85:11,SBB,Schweizerische Bundesbahnen SBB,Zug,18690,S6,,S,false,false,8503527,Buchs-Dällikon,14.04.2025 23:52,14.04.2025 23:52:04,REAL,14.04.2025 23:52,14.04.2025 23:52:34,REAL,false
14233,14.04.2025,ch:1:sjyid:100001:18691-001,85:11,SBB,Schweizerische Bundesbahnen SBB,Zug,18691,S6,,S,false,false,8503527,Buchs-Dällikon,14.04.2025 23:37,14.04.2025 23:38:02,REAL,14.04.2025 23:37,14.04.2025 23:38:31,REAL,false
14254,14.04.2025,ch:1:sjyid:100001:18692-001,85:11,SBB,Schweizerische Bundesbahnen SBB,Zug,18692,S6,,S,false,false,8503527,Buchs-Dällikon,15.04.2025 00:24,15.04.2025 00:26:48,REAL,15.04.2025 00:24,15.04.2025 00:27:25,REAL,false
14265,14.04.2025,ch:1:sjyid:100001:18693-001,85:11,SBB,Schweizerische Bundesbahnen SBB,Zug,18693,S6,,S,false,false,8503527,Buchs-Dällikon,15.04.2025 00:07,15.04.2025 00:07:28,REAL,15.04.2025 00:07,15.04.2025 00:08:15,REAL,false
1304238,14.04.2025,ch:1:sjyid:100061:2201-001,85:82,SOB-sob,Schweizerische Südostbahn (sob),Zug,2201,IR13,,IR,false,false,8509404,Buchs SG,14.04.2025 06:44,14.04.2025 06:45:10,REAL,14.04.2025 06:45,14.04.2025 06:45:49,REAL,false
1304249,14.04.2025,ch:1:sjyid:100061:2203-001,85:82,SOB-sob,Schweizerische Südostbahn (sob),Zug,2203,IR13,,IR,false,false,8509404,Buchs SG,14.04.2025 07:44,14.04.2025 07:45:30,REAL,14.04.2025 07:45,14.04.2025 07:46:10,REAL,false
1304260,14.04.2025,ch:1:sjyid:100061:2205-001,85:82,SOB-sob,Schweizerische Südostbahn (sob),Zug,2205,IR13,,IR,false,false,8509404,Buchs SG,14.04.2025 08:44,14.04.2025 08:43:40,REAL,14.04.2025 08:45,14.04.2025 08:45:06,REAL,false
1304271,14.04.2025,ch:1:sjyid:100061:2206-002,85:82,SOB-sob,Schweizerische Südostbahn (sob),Zug,2206,IR13,,IR,false,false,8509404,Buchs SG,14.04.2025 06:14,14.04.2025 06:13:38,REAL,14.04.2025 06:15,14.04.2025 06:15:09,REAL,false
1304282,14.04.2025,ch:1:sjyid:100061:2207-001,85:82,SOB-sob,Schweizerische Südostbahn (sob),Zug,2207,IR13,,IR,false,false,8509404,Buchs SG,14.04.2025 09:44,14.04.2025 09:44:03,REAL,14.04.2025 09:45,14.04.2025 09:45:21,REAL,false
